Follower count:,Post ID,Media Type:,Caption,Likes,Comments,Timestamp,Tags:
303164617,3148330483820937225,1,"The Alcaraz Era is upon us.
 
An age in which age doesn’t matter and impossible shots are served with a smile 😏
 
Congrats @carlitosalcarazz, youngest world no.1, on major no.2.
 
Your time has only just begun.",595151,1907,2023-07-16 17:57:41+00:00,"[{'username': 'carlitosalcarazz', 'followers': 3991293}]"
303164617,3147996374876157022,2,"She’s got the touch. She’s got the power. She’s got the… keytar solo? 

When @uswnt forward Megan Rapinoe takes the pitch to chase three-peat history on the big stage, you know she’s gonna let it rip. Check @mrapinoe the All-American Hero.
#JustDoIt #NikeFC",74662,869,2023-07-16 07:00:05+00:00,"[{'username': 'nikefootball', 'followers': 45672129}, {'username': 'mrapinoe', 'followers': 2191412}]"
303164617,3147304962392516320,8,"She’s laced up ✅ She’s locked in ✅ She’s ready to win🥇.

If you’re a goalkeeper facing a shot from the U.S. Women’s National Soccer Team rookie forward @sophsssmith, we’ve got two words for you: good luck. She might be all smiles on and off the pitch, but that doesn’t mean she doesn’t possess the instinct to put a team to sleeep with a swift touch of the ball. #NikeFC",85970,446,2023-07-15 08:00:10+00:00,"[{'username': 'uswnt', 'followers': 2314932}, {'username': 'sophsssmith', 'followers': 285937}, {'username': 'nikewomen', 'followers': 7179273}]"
303164617,3147274712534421244,2,"Nice To Beat You.

@sophsssmith’s smile says it all. The @uswnt forward is poised, confident, and she’s gonna score. So, if you’re a defender, know this: It’s going to be a looooooong game.

Check out our IG stories to learn more about the athletes and their films 👀 #JustDoIt #NikeFC",59551,280,2023-07-15 07:01:39+00:00,"[{'username': 'nikefootball', 'followers': 45672129}, {'username': 'sophsssmith', 'followers': 285937}]"
303164617,3146580132957307757,8,"Wang Shuang @wang_shuang7 is no stranger to 🏆 as a four-time Chinese Footballer of The Year winner.

How does she do it? She believes in elevating the game as a whole. Both relentless and selfless, she inspires teammates to elevate their game and rising stars to chase after their ⚽️ dreams.
#NikeFC",73091,335,2023-07-14 08:00:03+00:00,"[{'username': 'wang_shuang7', 'followers': 66616}, {'username': 'nikewomen', 'followers': 7179273}]"
303164617,3146549503187818287,2,"Play With Heart.

China’s midfielder @wang_shuang7’s playing style is all ❤️‍🔥. That’s why she follows it around the world from Paris to Wuhan to Louisville, Kentucky and beyond. 

Check out our IG stories to learn more about the athletes and their films 👀 #JustDoIt #NikeFC",55386,248,2023-07-14 07:01:16+00:00,"[{'username': 'wang_shuang7', 'followers': 66616}, {'username': 'nikefootball', 'followers': 45672129}]"
303164617,3145855505654345694,8,"There’s football greats, and then there are the Brazilian greats. Debinha @debinhaa7, a forward for the Brazil Women’s National Team, is one of them.

Coming from a country that has given the world some of the greatest players of all time, it’s now her time. Always representing her Brazilian football pedigree, number 9 is ready to bring home the 🏆 . #NikeFC",84811,510,2023-07-13 08:00:21+00:00,"[{'username': 'debinhaa7', 'followers': 531732}, {'username': 'nikewomen', 'followers': 7179273}]"
303164617,3145825186028695366,2,"Joga Forever.

Clean up on aisle 9! No matter where Brazilian forward @Debinhaa7 goes, her joga bonito skills shine, even at the corner store ☕️ 

Check out our IG stories to learn more about the athletes and their films 👀 #JustDoIt #NikeFC",309426,2100,2023-07-13 07:01:27+00:00,"[{'username': 'nikefootball', 'followers': 45672129}, {'username': 'debinhaa7', 'followers': 531732}]"
303164617,3145130584363944564,8,"Not only is @ahegerberg unstoppable on the pitch, she’s also known as one of the best players in the game. We’re talking 349 career goals and a presence that makes opposing teams alter their strategy when facing off against her.

Despite possessing the discipline, mindset, and work ethic of a true professional, Ada also knows that to be great on the pitch, you need to have a life off of it. “Obviously, it’s all about football. But to be able to switch on and off—that’s very important in life.”
#NikeFC",58268,311,2023-07-12 08:00:04+00:00,"[{'username': 'nikewomen', 'followers': 7179273}]"
303164617,3145098102112967148,2,"Get Ada Her Way.

Forward @ahegerberg of @kvinnelandslaget is so dominant with the ball that swarms of defenders have no chance. They need help. They need reinforcements. They need EVERY advantage they can find. Sometimes, things can get a little desperate.🥺💦

Check out our IG stories to learn more about the athletes and their films 👀 #JustDoIt #NikeFC",84684,507,2023-07-12 07:00:08+00:00,"[{'username': 'nikefootball', 'followers': 45672129}, {'username': 'ahegerberg', 'followers': 836691}]"
303164617,3143681157849764716,8,"The two-time Footballer of The Year @samanthakerr20, forward for the Australian Women’s National Football team, is no stranger to winning. We’re talking seven golden boots (an award given to the leading goal scorer 👟 ⚽ 🏆 ) across three continents, too many international appearances to count, and a back flip that should be worth an extra point on the board.

And, she’s about to add to that list an experience very few athletes get in a *lifetime*: playing football’s biggest tournament on her home turf. Keep your 👀 on her this tournament, she’s a scoring champ and will flip a game in an instant—figuratively and literally. #NikeFC",83037,456,2023-07-10 08:00:19+00:00,"[{'username': 'nikewomen', 'followers': 7179273}]"
303164617,3143650474310112907,2,"Flip the Game.

@samanthakerr20 is the @matildas striker who can bring a crowd to their feet. And when she knocks one in the net... well, you could say the whole world flips. 

Check out our IG stories to learn more about the athletes and their films 👀 #JustDoIt #NikeFC",102776,615,2023-07-10 07:00:30+00:00,"[{'username': 'samanthakerr20', 'followers': 1370567}, {'username': 'nikefootball', 'followers': 45672129}]"
